name,iso_country,icao_code,iata_code,municipality,coordinates
Capitan Montes Airport,PE,SPYL,TYL,Talara,"-81.254096984863, -4.5766401290894"
Maria Reiche Neuman Airport,PE,SPZA,NZC,Nazca,"-74.9615020752, -14.854000091600001"
Alejandro Velasco Astete International Airport,PE,SPZO,CUZ,Cusco,"-71.9387969971, -13.535699844400002"
Shangrao Sanqingshan Airport,CN,ZSSR,SQD,Shangrao,"117.9643, 28.3797"
Shaxian Airport,CN,ZSSM,SQJ,Sanming,"117.8336, 26.4263"
Ponta Grossa Airport - Comandante Antonio Amilton Beraldo,BR,SBPG,PGZ,Ponta Grossa,"-50.1441, -25.1847"
Santa Bernardina International Airport,UY,SUDU,DZO,Durazno,"-56.49919891357422, -33.3588981628418"
Capitan Corbeta CA Curbelo International Airport,UY,SULS,PDP,Punta del Este,"-55.09429931640625, -34.855098724365234"
Carrasco International /General C L Berisso Airport,UY,SUMU,MVD,Montevideo,"-56.0308, -34.838402"
Nueva Hesperides International Airport,UY,SUSO,STY,Salto,"-57.98529815673828, -31.438499450683594"
Oswaldo Guevara Mujica Airport,VE,SVAC,AGV,Acarigua,"-69.23786926269531, 9.553375244140625"
Anaco Airport,VE,SVAN,AAO,Anaco,"-64.4707260131836, 9.430225372314453"
General Jos���� Antonio Anzoategui International Airport,VE,SVBC,BLA,Barcelona,"-64.692222, 10.111111"
Barinas Airport,VE,SVBI,BNS,Barinas,"-70.21416667, 8.615"
Barquisimeto International Airport,VE,SVBM,BRM,Barquisimeto,"-69.3586196899414, 10.042746543884277"
Escuela Mariscal Sucre Airport,VE,SVBS,MYC,Maracay,"-67.64942169189453, 10.249978065490723"
Calabozo Airport,VE,SVCL,CLZ,Guarico,"-67.4170913696289, 8.92465591430664"
Canaima Airport,VE,SVCN,CAJ,Canaima,"-62.85443115234375, 6.231988906860352"
Carora Airport,VE,SVCO,VCR,Carora,"-70.06521606445312, 10.175602912902832"
General Francisco Berm����dez Airport,VE,SVCP,CUP,Car����pano,"-63.261680603027344, 10.660014152526855"
Jos���� Leonardo Chirinos Airport,VE,SVCR,CZE,Coro,"-69.68090057373047, 11.41494369506836"
El Dorado Airport,VE,SVED,EOR,Bolivar,"-61.58333206176758, 6.733333110809326"
Guanare Airport,VE,SVGU,GUQ,Guanare,"-69.7551498413086, 9.026944160461426"
Josefa Camejo International Airport,VE,SVJC,LSP,Paraguan����,"-70.15149688720703, 11.78077507019043"
La Chinita International Airport,VE,SVMC,MAR,Maracaibo,"-71.7278594971, 10.5582084656"
Alberto Carnevalli Airport,VE,SVMD,MRD,M����rida,"-71.161041, 8.582078"
Del Caribe Santiago Mari����o International Airport,VE,SVMG,PMV,Isla Margarita,"-63.96659851074219, 10.912603378295898"
Sim����n Bol����var International Airport,VE,SVMI,CCS,Caracas,"-66.991222, 10.601194"
Cacique Aramare Airport,VE,SVPA,PYH,Puerto Ayacucho,"-67.606101989746, 5.6199898719788"
General Manuel Carlos Piar International Airport,VE,SVPR,PZO,Puerto Ordaz-Ciudad Guayana,"-62.760398864746094, 8.288530349731445"
Palmarito Airport,VE,SVPT,PTM,Palmarito,"-70.18329620361328, 7.566669940948486"
Mayor Buenaventura Vivas International Airport,VE,SVSO,STD,Santo Domingo,"-72.035103, 7.56538"
Sub Teniente Nestor Arias Airport,VE,SVSP,SNF,San Felipe,"-68.755203, 10.2787"
San Fernando De Apure Airport,VE,SVSR,SFD,Inglaterra,"-67.44400024414062, 7.883319854736328"
San Tom���� Airport,VE,SVST,SOM,El Tigre,"-64.151084899902, 8.9451465606689"
Tucupita Airport,VE,SVTC,TUV,Tucupita,"-62.094173431396484, 9.088994026184082"
Arturo Michelena International Airport,VE,SVVA,VLN,Valencia,"-67.92839813232422, 10.14973258972168"
Juan Pablo P����rez Alfonso Airport,VE,SVVG,VIG,El Vig����a,"-71.672668, 8.624139"
Dr. Antonio Nicol����s Brice����o Airport,VE,SVVL,VLV,Valera,"-70.58406066894531, 9.34047794342041"
Aragua����na Airport,BR,SWGN,AUX,Aragua����na,"-48.240501, -7.22787"
Cheddi Jagan International Airport,GY,SYCJ,GEO,Georgetown,"-58.25410079956055, 6.498549938201904"
Eugene F. Correira International Airport,GY,SYEC,OGL,Ogle,"-58.1059, 6.80628"
Lethem Airport,GY,SYLT,LTM,Lethem,"-59.789398, 3.37276"
V.C. Bird International Airport,AG,TAPA,ANU,St. John's,"-61.792702, 17.1367"
Grantley Adams International Airport,BB,TBPB,BGI,Bridgetown,"-59.4925, 13.0746"
Canefield Airport,DM,TDCF,DCF,Canefield,"-61.3922004699707, 15.336700439453125"
Douglas-Charles Airport,DM,TDPD,DOM,Marigot,"-61.299999, 15.547"
Martinique Aim���� C����saire International Airport,MQ,TFFF,FDF,Fort-de-France,"-61.00320053100586, 14.590999603271484"
L'Esp����rance Airport,MF,TFFG,SFG,Grand Case,"-63.047199, 18.099899"
Gustaf III Airport,BL,TFFJ,SBH,Gustavia,"-62.84360122680664, 17.904399871826172"
Les Bases Airport,GP,TFFM,GBJ,Grand Bourg,"-61.27000045776367, 15.86870002746582"
Pointe-����-Pitre Le Raizet,GP,TFFR,PTP,Pointe-����-Pitre,"-61.531799, 16.265301"
Point Salines International Airport,GD,TGPY,GND,Saint George's,"-61.78620147705078, 12.004199981689453"
Cyril E. King Airport,VI,TIST,STT,"Charlotte Amalie, Harry S. Truman Airport","-64.97339630126953, 18.337299346923828"
Henry E Rohlsen Airport,VI,TISX,STX,Christiansted,"-64.79859924316406, 17.701900482177734"
Antonio Nery Juarbe Pol Airport,PR,TJAB,ARE,Arecibo,"-66.6753005981, 18.4500007629"
Rafael Hernandez Airport,PR,TJBQ,BQN,Aguadilla,"-67.12940216064453, 18.49489974975586"
Diego Jimenez Torres Airport,PR,TJFA,FAJ,Fajardo,"-65.66190338134766, 18.308900833129883"
Fernando Luis Ribas Dominicci Airport,PR,TJIG,SIG,San Juan,"-66.09809875488281, 18.45680046081543"
Eugenio Maria De Hostos Airport,PR,TJMZ,MAZ,Mayaguez,"-67.14849853515625, 18.255699157714844"
Mercedita Airport,PR,TJPS,PSE,Ponce,"-66.56300354003906, 18.00830078125"
Luis Munoz Marin International Airport,PR,TJSJ,SJU,San Juan,"-66.0018005371, 18.4393997192"
Robert L. Bradshaw International Airport,KN,TKPK,SKB,Basseterre,"-62.71870040893555, 17.311199188232422"
Vance W. Amory International Airport,KN,TKPN,NEV,Charlestown,"-62.589900970458984, 17.205699920654297"
George F. L. Charles Airport,LC,TLPC,SLU,Castries,"-60.992901, 14.0202"
Hewanorra International Airport,LC,TLPL,UVF,Vieux Fort,"-60.952599, 13.7332"
Enfidha - Hammamet International Airport,TN,DTNH,NBE,Enfidha,"10.438611, 36.075833"
Queen Beatrix International Airport,AW,TNCA,AUA,Oranjestad,"-70.015198, 12.5014"
Flamingo International Airport,BQ,TNCB,BON,Kralendijk,"-68.26850128173828, 12.130999565124512"
Hato International Airport,CW,TNCC,CUR,Willemstad,"-68.959801, 12.1889"
F. D. Roosevelt Airport,BQ,TNCE,EUX,Sint Eustatius,"-62.979400634765625, 17.49650001525879"
Princess Juliana International Airport,SX,TNCM,SXM,Saint Martin,"-63.1088981628, 18.041000366200002"
Jumandy Airport,EC,SEJD,TNW,Tena,"-77.583333, -1.059722"
Clayton J Lloyd International Airport,AI,TQPF,AXA,The Valley,"-63.055099, 18.2048"
I����d����r Airport,TR,LTCT,IGD,I����d����r,"43.8766479492, 39.9766273499"
John A. Osborne Airport,MS,TRPG,MNI,Gerald's Park,"-62.19329833984375, 16.791400909423828"
Tobago-Crown Point Airport,TT,TTCP,TAB,Scarborough,"-60.83219909667969, 11.149700164794922"
Piarco International Airport,TT,TTPP,POS,Port of Spain,"-61.33720016479492, 10.595399856567383"
Terrance B. Lettsome International Airport,VG,TUPJ,EIS,Road Town,"-64.54299926757812, 18.444799423217773"
Argyle International Airport,VC,TVSA,SVD,Kingstown,"-61.149945, 13.156695"
J F Mitchell Airport,VC,TVSB,BQU,Bequia,"-61.2620010376, 12.9884004593"
Canouan Airport,VC,TVSC,CIW,Canouan,"-61.3424, 12.699"
Mustique Airport,VC,TVSM,MQS,Mustique Island,"-61.180198669433594, 12.887900352478027"
Union Island International Airport,VC,TVSU,UNI,Union Island,"-61.41194534301758, 12.60013484954834"
L.F. Wade International International Airport,BM,TXKF,BDA,Hamilton,"-64.67870330810547, 32.36399841308594"
Almaty Airport,KZ,UAAA,ALA,Almaty,"77.04049682617188, 43.35210037231445"
Balkhash Airport,KZ,UAAH,BXH,Balkhash,"75.00499725341797, 46.8932991027832"
Astana International Airport,KZ,UACC,TSE,Astana,"71.46690368652344, 51.02220153808594"
Kokshetau Airport,KZ,UACK,KOV,Kokshetau,"69.594597, 53.329102"
Petropavlosk South Airport,KZ,UACP,PPK,Petropavlosk,"69.18389892578125, 54.77470016479492"
Taraz Airport,KZ,UADD,DMB,Taraz,"71.30359649658203, 42.853599548339844"
Issyk-Kul International Airport,KG,UCFL,IKU,Tamchy,"76.713046, 42.58792"
Manas International Airport,KG,UCFM,FRU,Bishkek,"74.4776000977, 43.0612983704"
Osh Airport,KG,UCFO,OSS,Osh,"72.793296814, 40.6090011597"
Shymkent Airport,KZ,UAII,CIT,Shymkent,"69.47889709472656, 42.364200592041016"
Zhezkazgan Airport,KZ,UAKD,DZN,Zhezkazgan,"67.733299, 47.708302"
Sary-Arka Airport,KZ,UAKK,KGF,Karaganda,"73.33439636230469, 49.670799255371094"
Uralsk Airport,KZ,UARR,URA,Uralsk,"51.54309844970703, 51.15079879760742"
Ekibastuz Airport,KZ,UASB,EKB,Ekibastuz,"75.21499633789062, 51.590999603271484"
Ust-Kamennogorsk Airport,KZ,UASK,UKK,Ust Kamenogorsk,"82.49420166015625, 50.036598205566406"
Pavlodar Airport,KZ,UASP,PWQ,Pavlodar,"77.07389831542969, 52.19499969482422"
Semipalatinsk Airport,KZ,UASS,PLX,Semey,"80.234398, 50.351295"
Aktau Airport,KZ,UATE,SCO,Aktau,"51.091999, 43.8601"
Atyrau Airport,KZ,UATG,GUW,Atyrau,"51.8213996887207, 47.12189865112305"
Aktobe Airport,KZ,UATT,AKX,Aktyubinsk,"57.206699, 50.2458"
Kostanay West Airport,KZ,UAUU,KSN,Kostanay,"63.55030059814453, 53.20690155029297"
Heydar Aliyev International Airport,AZ,UBBB,GYD,Baku,"50.04669952392578, 40.467498779296875"
Ganja International Airport,AZ,UBBG,KVD,Ganja,"46.3176, 40.737701"
Nakhchivan Airport,AZ,UBBN,NAJ,Nakhchivan,"45.45840072631836, 39.18880081176758"
Gabala International Airport,AZ,UBBQ,GBB,Gabala,"47.7125, 40.826667"
Gyumri Shirak Airport,AM,UDSG,LWN,Gyumri,"43.859298706100006, 40.7504005432"
Zvartnots International Airport,AM,UDYZ,EVN,Yerevan,"44.3959007263, 40.1473007202"
Yakutsk Airport,RU,UEEE,YKS,Yakutsk,"129.77099609375, 62.093299865722656"
Chulman Airport,RU,UELL,NER,Neryungri,"124.91400146484, 56.913898468018"
Moma Airport,RU,UEMA,MQJ,Khonuu,"143.261551, 66.450861"
Magan Airport,RU,UEMM,GYG,Magan,"129.545288, 62.103484"
Olyokminsk Airport,RU,UEMO,OLZ,Olyokminsk,"120.471001, 60.397499"
Ust-Nera Airport,RU,UEMT,USR,Ust-Nera,"143.11500549316, 64.550003051758"
Vilyuisk Airport,RU,UENW,VYI,Vilyuisk,"121.69333648682, 63.75666809082"
Lensk Airport,RU,UERL,ULK,Lensk,"114.825996399, 60.7206001282"
Polyarny Airport,RU,UERP,PYJ,Yakutia,"112.029998779, 66.4003982544"
Mirny Airport,RU,UERR,MJZ,Mirny,"114.03900146484375, 62.534698486328125"
Saskylakh Airport,RU,UERS,SYS,Saskylakh,"114.08000183105, 71.92790222168"
Belaya Gora Airport,RU,UESG,BGN,Belaya Gora,"146.231506, 68.556602"
Srednekolymsk Airport,RU,UESK,SEK,Srednekolymsk,"153.7364, 67.4805"
Chokurdakh Airport,RU,UESO,CKH,Chokurdah,"147.90199279785156, 70.62310028076172"
Cherskiy Airport,RU,UESS,CYX,Cherskiy,"161.33799743652344, 68.7406005859375"
Tiksi Airport,RU,UEST,IKS,Tiksi,"128.90299987793, 71.697700500488"
Zyryanka Airport,RU,UESU,ZKP,Zyryanka,"150.8889, 65.7485"
Kopitnari Airport,GE,UGKO,KUT,Kutaisi,"42.4826011658, 42.176700592"
Batumi International Airport,GE,UGSB,BUS,Batumi,"41.5997009277, 41.6102981567"
Sukhumi Dranda Airport,GE,UGSS,SUI,Sukhumi,"41.128101348899996, 42.8582000732"
Tbilisi International Airport,GE,UGTB,TBS,Tbilisi,"44.95470047, 41.6692008972"
Ignatyevo Airport,RU,UHBB,BQS,Blagoveschensk,"127.41200256347656, 50.42539978027344"
Khabarovsk-Novy Airport,RU,UHHH,KHV,Khabarovsk,"135.18800354004, 48.52799987793"
Komsomolsk-on-Amur Airport,RU,UHKK,KXK,Komsomolsk-on-Amur,"136.9340057373047, 50.409000396728516"
Maygatka Airport.,RU,UHKM,GVN,Sovetskaya Gavan,"140.033996582, 48.926998138399995"
Ugolny Airport,RU,UHMA,DYR,Anadyr,"177.740997, 64.734902"
Provideniya Bay Airport,RU,UHMD,PVS,Chukotka,"-173.2429962158203, 64.37809753417969"
Keperveem Airport,RU,UHMK,KPW,Keperveem,"166.139999, 67.845001"
Sokol Airport,RU,UHMM,GDX,Magadan,"150.72000122070312, 59.9109992980957"
Pevek Airport,RU,UHMP,PWE,Pevek,"170.59700012207, 69.783302307129"
Nikolayevsk-na-Amure Airport,RU,UHNN,NLI,Nikolayevsk-na-Amure Airport,"140.649994, 53.154999"
Okhotsk Airport,RU,UHOO,OHO,Okhotsk,"143.05650329589844, 59.410064697265625"
Yelizovo Airport,RU,UHPP,PKC,Petropavlovsk-Kamchatsky,"158.45399475097656, 53.16790008544922"
Yuzhno-Sakhalinsk Airport,RU,UHSS,UUS,Yuzhno-Sakhalinsk,"142.71800231933594, 46.88869857788086"
Vladivostok International Airport,RU,UHWW,VVO,Vladivostok,"132.1479949951172, 43.39899826049805"
Chita-Kadala Airport,RU,UIAA,HTA,Chita,"113.306, 52.026299"
Bratsk Airport,RU,UIBB,BTK,Bratsk,"101.697998046875, 56.370601654052734"
Irkutsk Airport,RU,UIII,IKT,Irkutsk,"104.38899993896, 52.268001556396"
Ust-Kut Airport,RU,UITT,UKX,Ust-Kut,"105.7300033569336, 56.8567008972168"
Ulan-Ude Airport (Mukhino),RU,UIUU,UUD,Ulan Ude,"107.43800354003906, 51.80780029296875"
Boryspil International Airport,UA,UKBB,KBP,Kiev,"30.894699096679688, 50.345001220703125"
Mariupol International Airport,UA,UKCM,MPW,Mariupol,"37.44960021972656, 47.07609939575195"
Luhansk International Airport,UA,UKCW,VSG,Luhansk,"39.3740997314, 48.4174003601"
Dnipropetrovsk International Airport,UA,UKDD,DNK,Dnipropetrovsk,"35.10060119628906, 48.357200622558594"
Zaporizhzhia International Airport,UA,UKDE,OZH,Zaporizhia,"35.31570053100586, 47.867000579833984"
Kryvyi Rih International Airport,UA,UKDR,KWG,Kryvyi Rih,"33.209999084472656, 48.04330062866211"
Belbek Airport,UA,UKFB,UKS,Sevastopol,"33.570999145500004, 44.688999176"
Kharkiv International Airport,UA,UKHH,HRK,Kharkiv,"36.290000915527344, 49.924800872802734"
Cherkasy International Airport,UA,UKKE,CKC,Cherkasy,"31.99530029296875, 49.41559982299805"
Kiev Zhuliany International Airport,UA,UKKK,IEV,Kiev,"30.45194, 50.40194"
Gostomel Airport,UA,UKKM,GML,Kiev,"30.1919002532959, 50.60350036621094"
Khmelnytskyi Airport,UA,UKLH,HMJ,Khmelnytskyi,"26.933399, 49.359699"
Ivano-Frankivsk International Airport,UA,UKLI,IFO,Ivano-Frankivsk,"24.686100006103516, 48.88420104980469"
Lviv International Airport,UA,UKLL,LWO,Lviv,"23.956100463867188, 49.8125"
Chernivtsi International Airport,UA,UKLN,CWC,Chernivtsi,"25.98080062866211, 48.259300231933594"
Rivne International Airport,UA,UKLR,RWN,Rivne,"26.141599655151367, 50.60710144042969"
Uzhhorod International Airport,UA,UKLU,UDJ,Uzhhorod,"22.263399124145508, 48.634300231933594"
Mykolaiv International Airport,UA,UKON,NLV,Nikolayev,"31.9197998046875, 47.057899475097656"
Odessa International Airport,UA,UKOO,ODS,Odessa,"30.67650032043457, 46.42679977416992"
Talagi Airport,RU,ULAA,ARH,Archangelsk,"40.71670150756836, 64.60030364990234"
Naryan Mar Airport,RU,ULAM,NNM,Naryan Mar,"53.12189865112305, 67.63999938964844"
Cherepovets Airport,RU,ULWC,CEE,Cherepovets,"38.015800476100004, 59.273601532"
Amderma Airport,RU,ULDD,AMV,Amderma,"61.556400299072266, 69.76329803466797"
Majeed Bin Abdulaziz Airport,SA,OEAO,ULH,Al Ula,"38.1288888889, 26.48"
Kotlas Airport,RU,ULKK,KSZ,Kotlas,"46.6974983215332, 61.235801696777344"
Pulkovo Airport,RU,ULLI,LED,St. Petersburg,"30.262500762939453, 59.80030059814453"
Murmansk Airport,RU,ULMM,MMK,Murmansk,"32.75080108642578, 68.78170013427734"
Velikiye Luki Airport,RU,ULOL,VLU,Velikiye Luki,"30.60810089111328, 56.381099700927734"
Pskov Airport,RU,ULOO,PKV,Pskov,"28.395599365234375, 57.78390121459961"
Petrozavodsk Airport,RU,ULPB,PES,Petrozavodsk,"34.154701232910156, 61.88520050048828"
Vologda Airport,RU,ULWW,VGD,Vologda,"39.944400787353516, 59.282501220703125"
Brest Airport,BY,UMBB,BQT,Brest,"23.8981, 52.108299"
Gomel Airport,BY,UMGG,GME,Gomel,"31.016700744628906, 52.527000427246094"
Vitebsk Vostochny Airport,BY,UMII,VTB,Vitebsk,"30.349599838257, 55.126499176025"
Khrabrovo Airport,RU,UMKK,KGD,Kaliningrad,"20.592599868774414, 54.88999938964844"
Hrodna Airport,BY,UMMG,GNA,Hrodna,"24.053800582885742, 53.60200119018555"
Minsk National Airport,BY,UMMS,MSQ,Minsk,"28.030700683594, 53.882499694824"
Mogilev Airport,BY,UMOO,MVQ,Mogilev,"30.09510040283203, 53.954898834228516"
Abakan Airport,RU,UNAA,ABA,Abakan,"91.38500213623047, 53.7400016784668"
Barnaul Airport,RU,UNBB,BAX,Barnaul,"83.53849792480469, 53.363800048828125"
Gorno-Altaysk Airport,RU,UNBG,RGK,Gorno-Altaysk,"85.8332977295, 51.9667015076"
Kemerovo Airport,RU,UNEE,KEJ,Kemerovo,"86.1072006225586, 55.27009963989258"
Yeniseysk Airport,RU,UNII,EIE,Yeniseysk,"92.11250305175781, 58.47420120239258"
Podkamennaya Tunguska Airport,RU,UNIP,TGP,Bor,"89.994003, 61.589699"
Yemelyanovo Airport,RU,UNKL,KJA,Krasnoyarsk,"92.493301, 56.172901"
Achinsk Airport,RU,UNKS,ACS,Achinsk,"90.57080078125, 56.2682991027832"
Kyzyl Airport,RU,UNKY,KYZ,Kyzyl,"94.40059661865234, 51.66939926147461"
Tolmachevo Airport,RU,UNNT,OVB,Novosibirsk,"82.650703430176, 55.012599945068"
Omsk Central Airport,RU,UNOO,OMS,Omsk,"73.31050109863281, 54.96699905395508"
Strezhevoy Airport,RU,UNSS,SWT,Strezhevoy,"77.66000366210001, 60.709400177"
Bogashevo Airport,RU,UNTT,TOF,Tomsk,"85.208297729492, 56.380298614502"
Spichenkovo Airport,RU,UNWW,NOZ,Novokuznetsk,"86.877197, 53.811401"
Dikson Airport,RU,UODD,DKS,Dikson,"80.37966918945312, 73.51780700683594"
Khatanga Airport,RU,UOHH,HTG,Khatanga,"102.49099731445312, 71.97810363769531"
Igarka Airport,RU,UOII,IAA,Igarka,"86.62190246582031, 67.43720245361328"
Norilsk-Alykel Airport,RU,UOOO,NSK,Norilsk,"87.33219909667969, 69.31109619140625"
Anapa Vityazevo Airport,RU,URKA,AAQ,Anapa,"37.347301483154, 45.002101898193"
Yeysk Airport,RU,URKE,EIK,Yeysk,"38.21, 46.68"
Gelendzhik Airport,RU,URKG,GDZ,Gelendzhik,"38.0124807358, 44.5820926295"
Krasnodar Pashkovsky International Airport,RU,URKK,KRR,Krasnodar,"39.170501708984, 45.034698486328"
Uytash Airport,RU,URML,MCX,Makhachkala,"47.65230178833008, 42.81679916381836"
Mineralnyye Vody Airport,RU,URMM,MRV,Mineralnyye Vody,"43.08190155029297, 44.225101470947266"
Nalchik Airport,RU,URMN,NAL,Nalchik,"43.636600494384766, 43.512901306152344"
Beslan Airport,RU,URMO,OGZ,Beslan,"44.6066017151, 43.2051010132"
Magas Airport,RU,URMS,IGT,Magas,"45.0125999451, 43.322299957300004"
Stavropol Shpakovskoye Airport,RU,URMT,STW,Stavropol,"42.11280059814453, 45.10919952392578"
Platov International Airport,RU,URRP,ROV,Rostov-on-Don,"39.924722, 47.493888"
Taganrog Yuzhny Airport,RU,URRT,TGK,Taganrog,"38.8491667, 47.1983333"
Sochi International Airport,RU,URSS,AER,Sochi,"39.9566, 43.449902"
Astrakhan Airport,RU,URWA,ASF,Astrakhan,"48.0063018799, 46.2832984924"
Elista Airport,RU,URWI,ESL,Elista,"44.33089828491211, 46.3739013671875"
Volgograd International Airport,RU,URWW,VOG,Volgograd,"44.34550094604492, 48.782501220703125"
Williston Basin International Airport,US,KXWA,XWA,Williston,"-103.748797, 48.258387"
Chelyabinsk Balandino Airport,RU,USCC,CEK,Chelyabinsk,"61.5033, 55.305801"
Magnitogorsk International Airport,RU,USCM,MQF,Magnitogorsk,"58.755699157714844, 53.39310073852539"
Sabetta International Airport,RU,USDA,SBT,Sabetta,"72.052222, 71.219167"
Salekhard Airport,RU,USDD,SLY,Salekhard,"66.61100006103516, 66.5907974243164"
Khanty Mansiysk Airport,RU,USHH,HMA,Khanty-Mansiysk,"69.08609771728516, 61.028499603271484"
Nyagan Airport,RU,USHN,NYA,Nyagan,"65.614998, 62.110001"
Sovetskiy Airport,RU,USHS,OVS,Sovetskiy,"63.60191345214844, 61.326622009277344"
Uray Airport,RU,USHU,URJ,Uray,"64.82669830322266, 60.10329818725586"
Izhevsk Airport,RU,USII,IJK,Izhevsk,"53.45750045776367, 56.82809829711914"
Pobedilovo Airport,RU,USKK,KVX,Kirov,"49.348300933838, 58.503299713135"
Nadym Airport,RU,USMM,NYM,Nadym,"72.69889831542969, 65.48090362548828"
Novy Urengoy Airport,RU,USMU,NUX,Novy Urengoy,"76.52030181884766, 66.06939697265625"
Nizhnevartovsk Airport,RU,USNN,NJC,Nizhnevartovsk,"76.48359680175781, 60.94929885864258"
Bolshoye Savino Airport,RU,USPP,PEE,Perm,"56.021198272705, 57.914501190186"
Kogalym International Airport,RU,USRK,KGP,Kogalym,"74.53379821777344, 62.190399169921875"
Nefteyugansk Airport,RU,USRN,NFG,Nefteyugansk,"72.6500015258789, 61.108299255371094"
Noyabrsk Airport,RU,USRO,NOJ,Noyabrsk,"75.2699966430664, 63.18330001831055"
Surgut Airport,RU,USRR,SGC,Surgut,"73.40180206298828, 61.34370040893555"
Koltsovo Airport,RU,USSS,SVX,Yekaterinburg,"60.802700042725, 56.743099212646"
Roshchino International Airport,RU,USTR,TJM,Tyumen,"65.3243026733, 57.189601898199996"
Kurgan Airport,RU,USUU,KRO,Kurgan,"65.41560363769531, 55.47529983520508"
Ashgabat International Airport,TM,UTAA,ASB,Ashgabat,"58.361, 37.986801"
Turkmenbashi Airport,TM,UTAK,KRW,Krasnovodsk,"53.007198, 40.063301"
Mary Airport,TM,UTAM,MYP,Mary,"61.896702, 37.6194"
Da����oguz Airport,TM,UTAT,TAZ,Da����oguz,"59.826698, 41.761101"
Turkmenabat Airport,TM,UTAV,CRZ,T����rkmenabat,"63.61330032348633, 39.08330154418945"
Dushanbe Airport,TJ,UTDD,DYU,Dushanbe,"68.8249969482, 38.543300628699996"
Kulob Airport,TJ,UTDK,TJU,Kulyab,"69.80500030517578, 37.98809814453125"
Khudzhand Airport,TJ,UTDL,LBD,Khudzhand,"69.6947021484375, 40.21540069580078"
Qurghonteppa International Airport,TJ,UTDT,KQT,Kurgan-Tyube,"68.86470031738281, 37.86640167236328"
Urgench Airport,UZ,UTNU,UGC,Urgench,"60.641700744628906, 41.58430099487305"
Bukhara Airport,UZ,UTSB,BHK,Bukhara,"64.4832992553711, 39.775001525878906"
Samarkand Airport,UZ,UTSS,SKD,Samarkand,"66.98380279541016, 39.70050048828125"
Termez Airport,UZ,UTST,TMJ,Termez,"67.30999755859375, 37.28670120239258"
Tashkent International Airport,UZ,UTTT,TAS,Tashkent,"69.2811965942, 41.257900238"
Kostroma Sokerkino Airport,RU,UUBA,KMW,Kostroma,"41.019401550299996, 57.7969017029"
Grabtsevo Airport,RU,UUBC,KLF,Kaluga,"36.3666687012, 54.5499992371"
Ivanovo South Airport,RU,UUBI,IWA,Ivanovo,"40.940799713134766, 56.93939971923828"
Staroselye Airport,RU,UUBK,RYB,Rybinsk,"38.92940139770508, 58.10419845581055"
Bryansk Airport,RU,UUBP,BZK,Bryansk,"34.176399, 53.214199"
Zhukovsky International Airport,RU,UUBW,ZIA,Moscow,"38.150002, 55.553299"
Domodedovo International Airport,RU,UUDD,DME,Moscow,"37.90629959106445, 55.40879821777344"
Sheremetyevo International Airport,RU,UUEE,SVO,Moscow,"37.4146, 55.972599"
Migalovo Air Base,RU,UUEM,KLD,Tver,"35.7577018737793, 56.82469940185547"
Ostafyevo International Airport,RU,UUMO,OSF,Moscow,"37.507222, 55.511667"
Chkalovskiy Air Base,RU,UUMU,CKL,Moscow,"38.061699, 55.8783"
Belgorod International Airport,RU,UUOB,EGO,Belgorod,"36.5900993347168, 50.643798828125"
Kursk East Airport,RU,UUOK,URS,Kursk,"36.29560089111328, 51.7505989074707"
Lipetsk Airport,RU,UUOL,LPK,Lipetsk,"39.53779983520508, 52.70280075073242"
Voronezh International Airport,RU,UUOO,VOZ,Voronezh,"39.22959899902344, 51.81420135498047"
Oryol Yuzhny Airport,RU,UUOR,OEL,Orel,"36.0022010803, 52.934700012200004"
Donskoye Airport,RU,UUOT,TBW,Tambov,"41.482799530029, 52.806098937988"
Vnukovo International Airport,RU,UUWW,VKO,Moscow,"37.2615013123, 55.5914993286"
Ukhta Airport,RU,UUYH,UCT,Ukhta,"53.8046989440918, 63.566898345947266"
Inta Airport,RU,UUYI,INA,Inta,"60.110321044921875, 66.0548324584961"
Pechora Airport,RU,UUYP,PEX,Pechora,"57.13079833984375, 65.12110137939453"
Usinsk Airport,RU,UUYS,USK,Usinsk,"57.3671989440918, 66.00469970703125"
Vorkuta Airport,RU,UUYW,VKT,Vorkuta,"63.993099212646484, 67.48860168457031"
Ust-Tsylma Airport,RU,UUYX,UTS,Ust-Tsylma,"52.20033645629999, 65.43729400630001"
Syktyvkar Airport,RU,UUYY,SCW,Syktyvkar,"50.84510040283203, 61.64699935913086"
Nizhny Novgorod Strigino International Airport,RU,UWGG,GOJ,Nizhny Novgorod,"43.784000396729, 56.230098724365"
Bugulma Airport,RU,UWKB,UUA,Bugulma,"52.801700592041016, 54.63999938964844"
Kazan International Airport,RU,UWKD,KZN,Kazan,"49.278701782227, 55.606201171875"
Begishevo Airport,RU,UWKE,NBC,Nizhnekamsk,"52.092498779296875, 55.564701080322266"
Yoshkar-Ola Airport,RU,UWKJ,JOK,Yoshkar-Ola,"47.904701232910156, 56.700599670410156"
Cheboksary Airport,RU,UWKS,CSY,Cheboksary,"47.3473014831543, 56.090301513671875"
Zhigansk Airport,RU,UEVV,ZIX,Zhigansk,"123.361000061, 66.7965011597"
Ulyanovsk Baratayevka Airport,RU,UWLL,ULV,Ulyanovsk,"48.226699829100006, 54.26829910279999"
Ulyanovsk East Airport,RU,UWLW,ULY,Ulyanovsk,"48.80270004272461, 54.4010009765625"
